1481942558,HORNE,Jennifer,9891,Lee,Spring Field,New Cicily
954141721,HILL,Margaret,15890,Sunset,Spring Field,New Cicily
140782466,CASEY,Paul,18805,Maple,Spring Field,New Cicily
-1631850212,SANCHEZ,Sean,25168,Sycamore,Spring Field,New Cicily
-2134485980,RIOS,Henry,15582,Broadway,Spring Field,New Cicily
-1863712009,DUARTE,Maureen,8680,Wilson,Spring Field,New Cicily
849474861,RAMOS,Amanda,13095,Pine,Spring Field,New Cicily
855277767,CARRILLO,Evan,7898,First,Spring Field,New Cicily
1948591904,NORTON,Christine,8291,Delaware,Spring Field,New Cicily
1385765288,CARRILLO,Travis,15184,Broadway,Spring Field,New Cicily
-1708757380,RICH,Wanda,8728,Canyon,Spring Field,New Cicily
-2054460973,LARSON,Don,13874,Juniper,Spring Field,New Cicily
1520887158,HENSON,Melissa,3510,River,Spring Field,New Cicily
-828443861,MILES,Nathan,13858,Johnson,Spring Field,New Cicily
-2127485867,STEPHENS,Jeremy,1012,Eleventh,Spring Field,New Cicily
83598482,RICE,Troy,911,Cherry,Spring Field,New Cicily
1405521325,BARKER,Isaiah,18554,Maple,Spring Field,New Cicily
128817255,POWELL,Duane,11859,Center,Spring Field,New Cicily
-526858894,CROSS,Jasmine,18722,Lee,Spring Field,New Cicily
-1562124791,HENDRIX,Kristi,18683,Kahili,Spring Field,New Cicily
-1975584214,SILVA,Kayla,17262,Navajo,Spring Field,New Cicily
2092751831,DUNLAP,Chad,2152,S 100,Spring Field,New Cicily
75007993,BASS,Kyle,14423,A,Spring Field,New Cicily
-1856857599,AGUILAR,Howard,1402,Thirteenth,Spring Field,New Cicily
1614004711,HO,Michelle,21548,Seventh,Spring Field,New Cicily
1731953154,ORR,Leslie,29400,Meadow,Spring Field,New Cicily
1994931105,WONG,Blake,2963,Aspen,Spring Field,New Cicily
640309470,BARR,Raymond,4815,Wood,Spring Field,New Cicily
-1961178011,PETERSON,Philip,1583,Magnolia,Spring Field,New Cicily
-1318209969,GONZALES,Sean,21125,S 100,Spring Field,New Cicily
